Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Ayncode,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,9.00am,6.00pm,☕☕☕,💪💪💪,🔌🔌🔌
tunde,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7.00am,6.09pm,☕☕☕☕,💪,🔌🔌🔌🔌
dayo,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7.00am,6.00pm,☕,💪💪💪,🔌🔌🔌🔌
dad,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7:00pm,2:00pm,☕☕☕,💪💪💪,🔌🔌🔌
dad,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7:00pm,2:00pm,☕☕☕,💪💪💪,🔌🔌🔌
dad,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7:00pm,2:00pm,☕☕☕,💪💪💪,🔌🔌🔌
dad,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,7:00pm,2:00pm,☕☕☕,💪💪💪,🔌🔌🔌
Tunde,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,9.00am,2:00pm,☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌
